,acronym,projectUrl,foundProjectUrl1,MatchScore1,Same Web Resource,Same Site
170,NANOFUTURES,http://www.nanofutures.eu/,http://ec.europa.eu/invest-in-research/pdf/areinhardt_dgonzalez_nano.pdf,0.0,0,
171,BIONEXGEN,http://www.bionexgen.eu/,http://www.bionexgen.eu/,100.0,1,
172,NANOHOUSE,http://www-nanohouse.cea.fr/,http://www-nanohouse.cea.fr/home/liblocal/docs/Dissemination%20Reports/NanoHouse%20DR2.pdf,0.0,0,
173,RESOLVE,http://projects.icmab.es/resolve/,http://morris.umh.ac.be/projects.aspx,0.0,0,
174,NAMDIATREAM,http://www.namdiatream.eu/joomla/,http://www.namdiatream.eu/,96.0,1,
175,EFRAIM,http://www.efraim-online.com/,http://www.asthma-allergy.de/studies.php?bereich_id=3,0.0,0,
176,COPE,http://cope.vtt.fi/,http://cope.vtt.fi/,100.0,1,
177,TOYBOX,http://www.toybox-study.eu/,http://onlinelibrary.wiley.com/doi/10.1111/obr.12178/pdf,0.0,0,
178,EURO-URHIS 2,http://www.urhis.eu/,"http://www.fhi.no/eway/default.aspx?pid=240&trg=Content_6863&Main_6664=6898:0:25,8155:1:0:0:::0:0&MainContent_6898=6863:0:25,8168:1:0:0:::0:0&Content_6863=6866:95853::1:6865:18:::0:0",0.0,0,
179,EATWELL,http://www.flaviola.org/,http://www.eatwellproject.eu/,0.0,0,
180,SERVIVE,http://www.servive.eu/,https://www.iit.demokritos.gr/project/servive,0.0,0,
181,BASELINE,http://www.baselineeurope.eu/,http://www.baselineeurope.eu/,0.0,0,
182,RHEA,http://www.rhea-project.eu/,http://www.rhea-project.eu/,100.0,1,
183,NANOYOU,http://nanoyou.eu/,http://nanoyou.eu/en/nanoyou-project.html,0.0,0,
184,LUPAS,http://www.lupas-amyloid.eu/,http://www.lupas-amyloid.eu/,0.0,0,
185,NEUROBID,http://www.neurobid.eu/,http://www.findanexpert.unimelb.edu.au/display/person11088,0.0,0,
186,MYCORED,http://www.mycored.eu/,http://www.mycored.eu/,79.0,1,
187,RUFUS,http://www.rufus-eu.de/,http://enrd.ec.europa.eu/enrd-static/networks-and-networking/research-initiatives/en/rufus_en.html,0.0,0,
188,ARCH,http://arch.iarc.fr/,http://arch.iarc.fr/tor/index.php,0.0,0,
189,DIAPREPP,http://www.diaprepp.eu/,http://www.diaprepp.eu/,100.0,1,
190,2-BE-SAFE,http://www.2besafe.eu/,http://www.2besafe.eu/,0.0,0,
191,SPICY,http://www.spicyweb.eu/,http://www.spicyweb.eu/,99.0,1,
192,GENODISC,http://www.physiol.ox.ac.uk/genodisc/index.html,http://www.demokritos.gr/Contents.aspx?lang=gr&CatId=143&View=20,0.0,0,
193,SSHOES,http://www.sshoes.eu/default.aspx,http://www.sshoes.eu/,99.0,1,
194,FULL4HEALTH,http://www.full4health.eu/,http://www.full4health.eu/project,47.0,0,
195,WASIS,http://www.wasis.eu/,http://www.transport-research.info/sites/default/files/project/documents/20120406_011320_87043_5D4.pdf,0.0,0,
196,BISNANO,http://www.bisnano.eu/,http://www.bisnano.eu/,91.0,1,
197,ECLAT,http://www2.le.ac.uk/departments/physics/research/rspp/missions/eclat/eclat-european-cluster-assimilation-technology/,http://www2.le.ac.uk/departments/physics/research/rspp/missions/eclat/eclat-european-cluster-assimilation-technology,68.0,1,
198,SAVEME,http://fp7-saveme.com/,http://www.unibo.it/en/research/projects-and-initiatives/Unibo-Projects-under-7th-Framework-Programme/cooperation-1/nanosciences-nanotechnologies-materials-and-new-product-technologies-nmp/saveme,0.0,0,
199,EUROSPIN,http://eurospin.mpg.de/,http://ec.europa.eu/research/health/medical-research/brain-research/projects/eurospin_en.html,0.0,0,
200,COMESEP,http://www.comesep.eu/,http://comesep.aeronomy.be/,96.0,1,
201,CTA-PP,https://portal.cta-observatory.org/Pages/Home.aspx,http://www.gae.ucm.es/cta_pp_part_b.pdf,0.0,0,
202,CCH FEVER,http://www.cch-fever.eu/,http://www.cch-fever.eu/,100.0,1,
203,WOODLIFE,http://www.woodlifeproject.com/en/Sidor/default.aspx,http://www.woodlifeproject.com/,100.0,1,
