original-uri,memento-closest,memento-first,memento-last,timegate_uri
http://www.intrasme.eu/,http://web.archive.org/web/20130123091740/http://www.intrasme.eu/,http://web.archive.org/web/20130123091740/http://www.intrasme.eu/,http://web.archive.org/web/20160310151814/http://intrasme.eu/,http://timetravel.mementoweb.org/timegate/http://www.intrasme.eu/
http://www.vr-hyperspace.eu/,http://web.archive.org/web/20120926024446/http://www.vr-hyperspace.eu/,http://web.archive.org/web/20120926024446/http://www.vr-hyperspace.eu/,http://web.archive.org/web/20160118134740/http://www.vr-hyperspace.eu/,http://timetravel.mementoweb.org/timegate/http://www.vr-hyperspace.eu/
http://www.eurhythdia.eu/,http://web.archive.org/web/20130301103134/http://www.eurhythdia.eu./,http://web.archive.org/web/20120917052955/http://www.eurhythdia.eu/,http://web.archive.org/web/20160305124556/http://eurhythdia.eu/,http://timetravel.mementoweb.org/timegate/http://www.eurhythdia.eu/
http://www.neocirculation.eu/,http://web.archive.org/web/20130504101324/http://www.neocirculation.eu/,http://web.archive.org/web/20120429081508/http://www.neocirculation.eu/,http://web.archive.org/web/20160307002901/http://neocirculation.eu/,http://timetravel.mementoweb.org/timegate/http://www.neocirculation.eu/
http://www.copernicus-sagres.eu/,http://web.archive.org/web/20130916150505/http://copernicus-sagres.eu,http://web.archive.org/web/20130916150505/http://copernicus-sagres.eu,http://web.archive.org/web/20160309141857/http://copernicus-sagres.eu/,http://timetravel.mementoweb.org/timegate/http://www.copernicus-sagres.eu/
http://www.apodecide.eu/,http://web.archive.org/web/20130415033125/http://apodecide.eu,http://web.archive.org/web/20130415033125/http://apodecide.eu,http://web.archive.org/web/20160317003038/http://www.apodecide.eu/,http://timetravel.mementoweb.org/timegate/http://www.apodecide.eu/
http://www.unil.ch/bacsin/home.html,http://web.archive.org/web/20150411080814/http://www.unil.ch/bacsin/home.html,http://web.archive.org/web/20150411080814/http://www.unil.ch/bacsin/home.html,http://web.archive.org/web/20150823015538/http://www.unil.ch/bacsin/home.html,http://timetravel.mementoweb.org/timegate/http://www.unil.ch/bacsin/home.html
http://www.nordicbaltsat.eu/,http://web.archive.org/web/20130414021502/http://www.nordicbaltsat.eu/,http://web.archive.org/web/20101220002920/http://www.nordicbaltsat.eu/,http://web.archive.org/web/20160307092020/http://nordicbaltsat.eu/,http://timetravel.mementoweb.org/timegate/http://www.nordicbaltsat.eu/
http://www.synflow.eu/,http://web.archive.org/web/20130218082024/http://www.synflow.eu/,http://web.archive.org/web/20120403215428/http://www.synflow.eu/,http://web.archive.org/web/20160308031559/http://synflow.eu/,http://timetravel.mementoweb.org/timegate/http://www.synflow.eu/
http://www.crismaproject.eu/,http://web.archive.org/web/20130102014517/http://www.crismaproject.eu/,http://web.archive.org/web/20120609073453/http://www.crismaproject.eu/,http://web.archive.org/web/20160221231828/http://www.crismaproject.eu/,http://timetravel.mementoweb.org/timegate/http://www.crismaproject.eu/
http://www.integrate-hta.eu/,http://web.archive.org/web/20130622052228/http://www.integrate-hta.eu,http://web.archive.org/web/20130622052228/http://www.integrate-hta.eu,http://web.archive.org/web/20150627065145/http://www.integrate-hta.eu/,http://timetravel.mementoweb.org/timegate/http://www.integrate-hta.eu/
http://aquavalens.org/,http://web.archive.org/web/20130530102911/http://aquavalens.org,http://web.archive.org/web/20130530102911/http://aquavalens.org,http://web.archive.org/web/20160313015952/http://www.aquavalens.org/,http://timetravel.mementoweb.org/timegate/http://aquavalens.org/
http://macsysproject.eu/,http://web.archive.org/web/20150214052604/http://macsysproject.eu/,http://web.archive.org/web/20150214052604/http://macsysproject.eu/,http://web.archive.org/web/20160305021654/http://macsysproject.eu/,http://timetravel.mementoweb.org/timegate/http://macsysproject.eu/
http://savelec-project.eu/,http://web.archive.org/web/20130128075755/http://savelec-project.eu/,http://web.archive.org/web/20120615200231/http://www.savelec-project.eu/,http://web.archive.org/web/20160308201137/http://savelec-project.eu/,http://timetravel.mementoweb.org/timegate/http://savelec-project.eu/
http://epilepsydesireproject.eu/,https://archive.is/20150820155801/http://epilepsydesireproject.eu/,https://archive.is/20150820155801/http://epilepsydesireproject.eu/,http://web.archive.org/web/20160317013650/http://epilepsydesireproject.eu/,http://timetravel.mementoweb.org/timegate/http://epilepsydesireproject.eu/
http://www.project-earlynutrition.eu/eneu/,http://web.archive.org/web/20150413005004/http://www.project-earlynutrition.eu/eneu,http://web.archive.org/web/20150413005004/http://www.project-earlynutrition.eu/eneu,https://archive.is/20160227041530/http://www.project-earlynutrition.eu/eneu/,http://timetravel.mementoweb.org/timegate/http://www.project-earlynutrition.eu/eneu/
http://www.kiekids.eu/contact-kiekids.html,,,,http://timetravel.mementoweb.org/timegate/http://www.kiekids.eu/contact-kiekids.html
http://www.nmpteam.com/,,,,http://timetravel.mementoweb.org/timegate/http://www.nmpteam.com/
http://www.innoshade.eu/,http://web.archive.org/web/20130324013638/http://www.innoshade.eu/,http://web.archive.org/web/20091010231100/http://www.innoshade.eu/,http://web.archive.org/web/20160306132714/http://innoshade.eu/,http://timetravel.mementoweb.org/timegate/http://www.innoshade.eu/
https://www.ciprnet.eu/summary.html,http://web.archive.org/web/20140111055316/http://www.ciprnet.eu/summary.html,http://web.archive.org/web/20140111055316/http://www.ciprnet.eu/summary.html,https://archive.is/20160309153720/https://www.ciprnet.eu/summary.html,http://timetravel.mementoweb.org/timegate/https://www.ciprnet.eu/summary.html
http://www.cardioscape.eu/,http://web.archive.org/web/20140329231940/http://www.cardioscape.eu/,http://web.archive.org/web/20140329231940/http://www.cardioscape.eu/,http://web.archive.org/web/20160306001303/http://cardioscape.eu/,http://timetravel.mementoweb.org/timegate/http://www.cardioscape.eu/
http://www.surrey.ac.uk/ssc/research/space_vehicle_control/deorbitsail/,http://web.archive.org/web/20141219154923/http://www.surrey.ac.uk/ssc/research/space_vehicle_control/deorbitsail/,http://web.archive.org/web/20141219154923/http://www.surrey.ac.uk/ssc/research/space_vehicle_control/deorbitsail/,http://web.archive.org/web/20150822064324/http://www.surrey.ac.uk/ssc/research/space_vehicle_control/deorbitsail,http://timetravel.mementoweb.org/timegate/http://www.surrey.ac.uk/ssc/research/space_vehicle_control/deorbitsail/
http://www.elite-eu.org/,http://web.archive.org/web/20141110051820/http://www.elite-eu.org/,http://web.archive.org/web/20141110051820/http://www.elite-eu.org/,http://web.archive.org/web/20160313054145/http://elite-eu.org/,http://timetravel.mementoweb.org/timegate/http://www.elite-eu.org/
http://www.thor-space.eu/,http://web.archive.org/web/20130830103338/http://thor-space.eu,http://web.archive.org/web/20130830103338/http://thor-space.eu,http://web.archive.org/web/20160307142442/http://thor-space.eu/,http://timetravel.mementoweb.org/timegate/http://www.thor-space.eu/
https://www.beat-eu.org/,http://web.archive.org/web/20130520113448/http://www.beat-eu.org/,http://web.archive.org/web/20120312063607/http://www.beat-eu.org/,http://web.archive.org/web/20160313131353/http://www.beat-eu.org/,http://timetravel.mementoweb.org/timegate/https://www.beat-eu.org/
